Source,Target
Q27601419,Q854855
Q27601422,Q854855
Q27601424,Q854855
Q27601426,Q854855
Q27601470,Q786840
Q27601472,Q786840
Q27601475,Q786840
Q27601478,Q909402
Q27601480,Q909402
Q27601483,Q909402
Q27601485,Q909402
Q27601488,Q830385
Q27601490,Q830385
Q27601493,Q830385
Q27601495,Q830385
Q27601498,Q830385
Q27601591,Q961494
Q27601594,Q961494
Q27601597,Q961494
Q27601611,Q961494
Q27601619,Q961494
Q27601713,Q26844
Q27601716,Q26844
Q27601718,Q26844
Q27601721,Q26844
Q27601725,Q26844
Q27601728,Q26844
Q27601815,Q129059
Q27601818,Q129059
Q27601828,Q155878
Q27601830,Q155878
Q27601833,Q155878
Q27601835,Q155878
Q27601838,Q155878
Q27601840,Q155878
Q278987,Q839855
Q279176,Q5113
Q27921503,Q732487
Q27924616,Q756174
Q27924696,Q26375
Q27924699,Q27924696
Q27960090,Q43624
Q27960095,Q27960090
Q27996617,Q687310
Q281002,Q1035119
Q28114166,Q455997
Q28114169,Q455997
Q28114175,Q455997
Q28122638,Q535829
Q28122642,Q687310
Q282973,Q10804328
Q283461,Q10802958
Q285165,Q740872
Q28529233,Q28529237
Q28529237,Q72968
Q2854549,Q773896
Q285477,Q863604
Q2861212,Q455997
Q286615,Q10803020
Q286887,Q10785754
Q28739699,Q25261964
Q28771427,Q773896
Q28778220,Q756174
Q28778221,Q28529237
Q28778248,Q28778256
Q28778256,Q72968
Q28787672,Q28529237
Q28870176,Q14920546
Q28870387,Q19166
Q28910508,Q43624
Q28910513,Q28910508
Q2935663,Q535829
Q2982568,Q5113
Q2984609,Q5113
Q3028240,Q21446235
Q303077,Q1073958
Q303120,Q455997
Q305222,Q773896
Q3056163,Q25557
Q30587686,Q455997
Q3062168,Q15865426
Q3063563,Q777396
Q3079028,Q5113
Q310224,Q777396
Q31074821,Q773896
Q3117581,Q2056866
Q31774,Q10734524
Q31873433,Q869569
Q31873546,Q844415
Q31873549,Q1286431
Q31873623,Q625342
Q31873660,Q1028983
Q31873667,Q1028983
Q31873702,Q570477
Q31873707,Q632986
Q31873708,Q1035119
Q31873725,Q623060
Q31873726,Q623060
Q31873826,Q455997
Q33134922,Q5113
Q33135146,Q5113
Q33135190,Q19961898
Q33135735,Q452969
Q33136420,Q5113
Q33136654,Q5113
Q33136867,Q5113
Q33137136,Q5113
Q33137595,Q21659
Q33137756,Q21659
Q33138106,Q5113
Q3349337,Q5113
Q3361632,Q5113
Q3374711,Q725342
Q339483,Q863604
Q3499885,Q12214029
Q35134392,Q14920546
Q35136515,Q5113
Q3532432,Q623060
Q3539809,Q5113
Q358469,Q358477
Q358477,Q741604
Q3605955,Q19166
Q3663142,Q840849
Q368369,Q2542765
Q368609,Q10821706
Q36937296,Q21659
Q370391,Q609533
Q3706848,Q18552568
Q3722021,Q19166
Q3726691,Q25557
Q37302735,Q19168
Q37311939,Q756174
Q373638,Q541709
Q3760777,Q129059
Q3760888,Q25557
Q3769135,Q129059
Q378365,Q570477
Q3803291,Q455997
Q384301,Q623060
Q3855343,Q25557
Q387610,Q1073958
Q3878769,Q929516
Q387934,Q10804890
Q388322,Q72968
Q388464,Q1069587
Q390270,Q10730583
Q3917160,Q26375
Q3976173,Q840849
Q40466416,Q10766392
Q40510313,Q777396
Q40510381,Q736722
Q40510407,Q777396
Q40510502,Q777396
Q40639,Q535829
Q40654828,Q740872
Q40654890,Q740872
Q40655798,Q162029
Q40655821,Q162029
Q40657211,Q28778256
Q40978387,Q15578675
Q40978394,Q15578675
Q40978405,Q15578675
Q40978577,Q516945
Q40978589,Q516945
Q40979850,Q455997
Q40979858,Q455997
Q40979864,Q455997
Q40979937,Q695754
Q40980945,Q10734524
Q40980953,Q10734524
Q40981228,Q623060
Q40984369,Q10743937
Q40984373,Q10743937
Q40984584,Q535829
Q40984593,Q535829
Q40987061,Q10748001
Q40987069,Q10748001
Q40988227,Q221209
Q40988237,Q868271
Q40989459,Q869569
Q40989467,Q869569
Q40989477,Q869569
Q40989485,Q869569
Q40989494,Q869569
Q40989504,Q869569
Q40989513,Q869569
Q40989522,Q869569
Q40989783,Q839855
Q40991134,Q388322
Q40991957,Q903982
Q40992723,Q387610
Q40994855,Q263388
Q40994862,Q263388
Q40994916,Q10759610
Q40994924,Q609533
Q40994933,Q609533
Q40995259,Q358477
Q40995268,Q358477
Q40995285,Q994067
Q40995771,Q740872
Q40995777,Q740872
Q40995785,Q740872
Q40995793,Q740872
Q40995810,Q740872
Q40995817,Q740872
Q40995840,Q740872
Q40995854,Q740872
Q40995862,Q740872
Q40996877,Q609156
Q40996883,Q609156
Q40996891,Q609156
Q40997869,Q430821
Q40997873,Q430821
Q40997883,Q430821
Q41001092,Q257832
Q41002150,Q162029
Q41002157,Q162029
Q41002164,Q162029
Q41003429,Q632986
Q41003437,Q28529237
Q41004853,Q777396
Q41004862,Q777396
Q41004873,Q777396
Q41004882,Q777396
Q41004891,Q777396
Q41004901,Q777396
Q41004910,Q777396
Q41004918,Q777396
Q41004927,Q777396
Q41004936,Q777396
Q41004946,Q777396
Q41004955,Q777396
Q41005177,Q43794
Q41005184,Q43794
Q41005544,Q541709
Q41005551,Q541709
Q41009245,Q929516
Q41009251,Q929516
Q41009261,Q1069587
Q41009268,Q1069587
Q41009275,Q1069587
Q41009851,Q18379868
Q41009860,Q18379868
Q41009869,Q18379868
Q41009877,Q18379868
Q41009969,Q27960090
Q41009976,Q27960090
Q41009983,Q27960090
Q41009991,Q27960090
Q41009999,Q27960090
Q41010007,Q27960090
Q41010018,Q27960090
Q41010026,Q27960090
Q41010038,Q27960090
Q41010046,Q27960090
Q41010056,Q27960090
Q41010066,Q27960090
Q41010075,Q27960090
Q41010084,Q27960090
Q41010158,Q28778256
Q41010166,Q28778256
Q41010172,Q28778256
Q41010177,Q28778256
Q41010183,Q28778256
Q41010190,Q28778256
Q41010199,Q28778256
Q41010207,Q28778256
Q41010216,Q28778256
Q41011868,Q1071983
Q41011874,Q1071983
Q41011882,Q1071983
Q41011890,Q1071983
Q41011907,Q1071983
Q41011932,Q732487
Q41011939,Q732487
Q41011949,Q732487
Q41011957,Q732487
Q41011964,Q732487
Q41011977,Q732487
Q41011985,Q732487
Q41011993,Q732487
Q41012002,Q732487
Q41012010,Q732487
Q41012018,Q732487
Q41015130,Q852812
Q41015136,Q852812
Q41015143,Q852812
Q41015152,Q852812
Q41015158,Q852812
Q41015164,Q852812
Q41015177,Q852812
Q41015183,Q852812
Q41017659,Q25261964
Q41017667,Q25261964
Q41017674,Q25261964
Q41017681,Q25261964
Q41017687,Q25261964
Q41017695,Q25261964
Q41018210,Q1080915
Q41018216,Q1080915
Q41023389,Q756174
Q41023396,Q756174
Q41023404,Q756174
Q41023412,Q756174
Q41023752,Q1081445
Q41024642,Q687310
Q41024710,Q687310
Q41024728,Q687310
Q41024780,Q687310
Q41024787,Q687310
Q41024798,Q687310
Q41024823,Q687310
Q41024833,Q687310
Q41024845,Q687310
Q41024855,Q687310
Q41024882,Q687310
Q41024938,Q687310
Q41024943,Q687310
Q41024965,Q687310
Q41025019,Q687310
Q41082078,Q221209
Q41084208,Q632986
Q41084830,Q541709
Q41087329,Q852812
Q41151219,Q43624
Q41154139,Q43624
Q41154287,Q26375
Q41155393,Q213536
Q41162704,Q41151219
Q41165121,Q41154139
Q41165289,Q41154287
Q41165933,Q41155393
Q41169243,Q552008
Q41169246,Q552008
Q4120496,Q213536
Q41217685,Q16724410
Q41217688,Q16724410
Q41217691,Q16724410
Q41217695,Q16724410
Q41217700,Q16724410
Q41217705,Q16724410
Q425828,Q1028983
Q428441,Q625342
Q430821,Q1073958
Q431110,Q1073958
Q431885,Q10743937
Q432031,Q756174
Q432058,Q455997
Q432073,Q516980
Q43794,Q26375
Q43825725,Q3917160
Q452969,Q19166
Q455997,Q1073958
Q472299,Q609533
Q47484107,Q43624
Q47654894,Q19966887
Q478592,Q777396
Q481579,Q3374711
Q49119310,Q26375
Q49138182,Q72968
Q49145730,Q72968
Q49146081,Q72968
Q49146744,Q213536
Q49147800,Q725342
Q49151809,Q21659
Q5021314,Q43794
Q503619,Q15578675
Q510118,Q625342
Q510996,Q1080907
Q513226,Q1035119
Q515968,Q171953
Q516052,Q1071983
Q516108,Q455997
Q5164619,Q777396
Q516922,Q516945
Q516945,Q1073958
Q516980,Q1073958
Q517768,Q5113
Q518531,Q10734182
Q5190172,Q5113
Q520208,Q839855
Q521821,Q606590
Q524681,Q10793395
Q526626,Q9304816
Q533763,Q455997
Q535416,Q221209
Q535829,Q1073958
Q5381825,Q5113
Q540586,Q1073958
Q5413866,Q43624
Q541709,Q1073958
Q542722,Q584362
Q543056,Q516945
Q543345,Q903903
Q544000,Q10786694
Q5457120,Q257832
Q546348,Q2415068
Q546835,Q773896
Q549247,Q570477
Q55110838,Q1286431
Q55111783,Q773896
Q552008,Q43624
Q56342559,Q18536564
Q565614,Q535829
Q56755423,Q19168
Q56807945,Q256637
Q569957,Q974811
Q570477,Q1073958
Q572638,Q869569
Q5747707,Q12214029
Q574867,Q578278
Q57507936,Q535829
Q57605,Q455997
Q578278,Q19172
Q580094,Q570477
Q58295050,Q257832
Q584362,Q1073958
Q587047,Q541709
Q588900,Q777396
Q591388,Q430821
Q591987,Q852812
Q593360,Q9304816
Q594810,Q10803028
Q595643,Q1073958
Q596581,Q10762095
Q604442,Q10764656
Q606421,Q623060
Q606442,Q777396
Q606590,Q1073958
Q606640,Q623060
Q607745,Q15875812
Q6090573,Q12214029
Q609156,Q741604
Q609533,Q1073958
Q609761,Q625342
Q61865,Q3917160
Q623060,Q9304816
Q625342,Q2542765
Q62577510,Q909402
Q63048866,Q26375
Q63048934,Q63048866
Q632066,Q10731928
Q632222,Q251575
Q632986,Q1073958
Q641392,Q455997
Q644670,Q1081445
Q644953,Q623060
Q64845989,Q840849
Q649173,Q10809477
Q652028,Q515968
Q656669,Q740872
Q657365,Q10759516
Q661898,Q25557
Q662719,Q852812
Q664438,Q2056866
Q665803,Q10792466
Q6676410,Q20679105
Q669331,Q10818969
Q6752264,Q5113
Q677492,Q455997
Q678454,Q10796092
Q682603,Q632986
Q684679,Q10803251
Q685399,Q838744
Q685738,Q869569
Q687020,Q1071983
Q687310,Q1073958
Q690521,Q15873882
Q695754,Q9304816
Q700608,Q623060
Q7045753,Q21078820
Q7064378,Q19163
Q7090424,Q7090423
Q7098303,Q12214029
Q7126492,Q26375
Q7126515,Q19163
Q7142618,Q5113
Q715266,Q863604
Q7169575,Q19168
Q717074,Q515968
Q72109,Q3374711
Q725342,Q21659
Q7271316,Q19172
Q728995,Q26375
Q72968,Q21659
Q730279,Q455997
Q731600,Q863604
Q7320333,Q21078901
Q732487,Q9304816
Q733306,Q1073958
Q733485,Q1080915
Q733777,Q623060
Q733797,Q1073958
Q736722,Q777396
Q737426,Q974811
Q737923,Q844415
Q740872,Q9304816
Q741604,Q43624
Q7418999,Q19168
Q742093,Q625342
Q742535,Q1080907
Q747372,Q814693
Q748957,Q852812
Q7512165,Q5113
Q75466142,Q43624
Q756174,Q26375
Q760693,Q455997
Q763130,Q10811865
Q764211,Q1073958
Q766605,Q773896
Q767354,Q944496
Q772052,Q10734253
Q772154,Q570477
Q773896,Q974811
Q774363,Q10766392
Q774996,Q251575
Q775398,Q10748001
Q776263,Q623060
Q776273,Q623060
Q776301,Q623060
Q776306,Q623060
Q776309,Q623060
Q776502,Q1073958
Q777139,Q3374711
Q777396,Q213536
Q780819,Q1073958
Q783963,Q10825020
Q784919,Q263388
Q7862035,Q455997
Q786840,Q857531
Q790606,Q839855
Q790679,Q455997
Q790940,Q625342
Q791206,Q43624
Q793568,Q455997
Q793573,Q625342
Q7937084,Q777396
Q793835,Q455997
