Source,Label,Target
Q1271890,Q1271890_ニジハチドリ,Q516945
Q1271908,Q1271908_スミレセンニョハチドリ,Q606590
Q1271939,Q1271939_ムネアカシギダチョウ,Q625342
Q1272411,Q1272411_Orange River Francolin,Q1286431
Q1272427,Q1272427_キンミドリテリオハチドリ,Q541709
Q1272481,Q1272481_ムジボウシノドフサハチドリ,Q430821
Q1272591,Q1272591_ハシボソシギダチョウ,Q929516
Q1273072,Q1273072_クロハラオジロハチドリ,Q609533
Q1273138,Q1273138_シロスジエメラルドハチドリ,Q455997
Q1273179,Q1273179_コガネオサファイアハチドリ,Q257832
Q1273414,Q1273414_イワヤブウズラ,Q593360
Q1273473,Q1273473_ユキムネエメラルドハチドリ,Q455997
Q1273505,Q1273505_クサビオヤマハチドリ,Q256637
Q1273659,Q1273659_クサビオケンバネハチドリ,Q535829
Q1273779,Q1273779_Grey-winged Francolin,Q1286431
Q1274275,Q1274275_スナシャコ,Q695754
Q1274605,Q1274605_フタスジシャコ,Q1286431
Q1274709,Q1274709_オジロハチドリ,Q609533
Q1275114,Q1275114_Francolinus swainsonii,Q844415
Q1275146,Q1275146_Francolinus capensis,Q740872
Q1275212,Q1275212_オウゴンサファイアハチドリ,Q257832
Q1275889,Q1275889_ヒゲシャコ,Q844415
Q1285732,Q1285732_Saucerottia,Q1073958
Q1286431,Q1286431_Scleroptila,Q26375
Q129059,Q129059_ヨーロッパオオライチョウ,Q756174
Q13108171,Q13108171_Aramidae,Q25557
Q131477,Q131477_ガストルニス属,Q18552568
Q13218593,Q13218593_Shanxiornis,Q26375
Q132731,Q132731_ゲニオルニス,Q855948
Q133956,Q133956_ジェホロルニス,Q20991430
Q13420329,Q13420329_Catreus,Q974811
Q135464,Q135464_Xenoperdix,Q9304816
Q136317,Q136317_Bullockornis,Q855948
Q13749836,Q13749836_Lerwa,Q9304816
Q1387028,Q1387028_アオアシミヤマテッケイ,Q623060
Q142651,Q142651_コリンウズラ,Q868271
Q143941,Q143941_ハバシハチドリ,Q10733799
Q14566629,Q14566629_Trogoniformes,Q5881279
Q1463540,Q1463540_Tympanuchus,Q26375
Q14644435,Q14644435_Amazilia alfaroana,Q455997
Q14690166,Q14690166_Rheinardia,Q26375
Q14920546,Q14920546_Galloanserimorphae,Q853058
Q14955525,Q14955525_Crypturellus reai,Q625342
Q15106192,Q15106192_Sappho,Q1073958
Q15232109,Q15232109_Grues,Q25557
Q15331248,Q15331248_Chrysolampis,Q1073958
Q15578675,Q15578675_Adelomyia,Q43624
Q155878,Q155878_クロライチョウ,Q728995
Q15632492,Q15632492_Ichthyornithiformes,Q21216243
Q1569770,Q1569770_ダチョウ目,Q840849
Q15731102,Q15731102_Pangalliformes,Q853058
Q15865425,Q15865425_Emeus,Q15865426
Q15865426,Q15865426_Dinornithidae,Q452969
Q15873882,Q15873882_Chlorestes,Q43624
Q15875812,Q15875812_Goldmania,Q43624
Q15879568,Q15879568_Myrtis,Q1073958
Q15881283,Q15881283_Rhodopis,Q1073958
Q16114391,Q16114391_Eudromia intermedia,Q925476
Q162029,Q162029_ライチョウ属,Q201240
Q16243047,Q16243047_Archaeornithipus,Q5113
Q16537759,Q16537759_Coturnicini,Q974811
Q16548850,Q16548850_Gallini,Q974811
Q16567148,Q16567148_Polytminae,Q43624
Q16570728,Q16570728_Lampornithini,Q1073958
Q16572676,Q16572676_Lophophorini,Q974811
Q16587520,Q16587520_Phasianini,Q974811
Q16610353,Q16610353_Tetraonini,Q201240
Q16611446,Q16611446_Trochilini,Q1073958
Q16687464,Q16687464_Ambiortiformes,Q19166
Q16687592,Q16687592_Coturnipes cooperi,Q20728897
Q16687765,Q16687765_Filholornis,Q19168
Q16688707,Q16688707_Paleophasianus,Q21659
Q16688748,Q16688748_Percolinus venablesi,Q20729579
Q16724410,Q16724410_Numida,Q171953
Q16735964,Q16735964_アウストラロルニス,Q19168
Q16910814,Q16910814_Gaviomorphae,Q19163
Q17114190,Q17114190_Neanis,Q5113
Q171953,Q171953_ホロホロチョウ科,Q21659
Q17273280,Q17273280_Cuculimorphae,Q19163
Q1760766,Q1760766_Vietnam Partridge,Q623060
Q17747564,Q17747564_Struthiornithiformes,Q19163
Q178702,Q178702_カラフトライチョウ,Q162029
Q179112,Q179112_Chrysolophus,Q974811
Q182761,Q182761_エゾライチョウ,Q926064
Q18341494,Q18341494_Megapodius stairi,Q777396
Q1837596,Q1837596_ホウカンチョウ目,Q5113
Q18379868,Q18379868_Oreopyra,Q43624
Q18536564,Q18536564_Lesbiinae,Q43624
Q18604631,Q18604631_Gallinuloididae,Q21659
Q18609049,Q18609049_Songziidae,Q25557
Q18609856,Q18609856_Ludiortyx,Q25557
Q18640249,Q18640249_Aptornithidae,Q25557
Q1869243,Q1869243_ウズラ属,Q9304816
Q18718823,Q18718823_Megalapteryx,Q18718824
Q18718824,Q18718824_Megalapterygidae,Q452969
Q1872867,Q1872867_Sira Curassow,Q944496
Q1877676,Q1877676_Margaroperdix,Q9304816
Q18889854,Q18889854_Franklin's grouse,Q2281160
Q1897577,Q1897577_Black-billed Streamertail,Q687310
Q19055,Q19055_オジロライチョウ,Q162029
Q19056,Q19056_ハリモミライチョウ,Q2281160
Q19068,Q19068_ホソオライチョウ,Q1463540
Q19163,Q19163_modern birds,Q5113
Q19166,Q19166_古顎類,Q5113
Q19168,Q19168_新顎類,Q5113
Q19170,Q19170_平胸類,Q19166
Q1944830,Q1944830_ノドジロコリン,Q868271
Q19551,Q19551_ヒメソウゲンライチョウ,Q1463540
Q19567380,Q19567380_Lithornithiformes,Q19166
Q19598162,Q19598162_Notopalaeognathae,Q19166
Q19630,Q19630_ソウゲンライチョウ,Q1463540
Q19776308,Q19776308_Sapeornis,Q7090423
Q19776310,Q19776310_Omnivoropterygiformes,Q5113
Q19789329,Q19789329_Sylviornithidae,Q15731102
Q19896718,Q19896718_Anserimorphae,Q853058
Q19904315,Q19904315_Amitabha,Q21659
Q199087,Q199087_チャカザリハチドリ,Q632986
Q19944890,Q19944890_Rollulinae,Q26375
Q19961788,Q19961788_Gallomorphae,Q853058
Q19962640,Q19962640_Picimorphes,Q19961995
Q19966172,Q19966172_Grui,Q25557
Q19966787,Q19966787_Ralli,Q25557
Q20020647,Q20020647_Andean blossomcrown,Q10734253
Q20072173,Q20072173_Cladornis pachypus,Q20160855
Q20072186,Q20072186_Cyrtonyx tedfordi,Q388322
Q20072359,Q20072359_Paraortygidae,Q21659
Q20097931,Q20097931_Fluvioviridavidae,Q19163
Q201240,Q201240_ライチョウ亜科,Q26375
Q20160863,Q20160863_Cladornithidae,Q5113
Q20161975,Q20161975_Eutelornis,Q5113
Q2032066,Q2032066_Upupae,Q5113
Q2033411,Q2033411_古鳥類,Q5113
Q2039333,Q2039333_Malaysian Partridge,Q623060
Q204066,Q204066_ニッケイハチドリ,Q455997
Q2048635,Q2048635_ドロモルニス,Q855948
Q2056866,Q2056866_Rhizothera,Q9304816
Q205930,Q205930_ライチョウ,Q162029
Q2061919,Q2061919_Chalcostigma,Q1073958
