id	parent_taxon
Q27623030	Q25386
Q109578326	Q310935
Q28864827	Q10830029
Q1297517	Q147880
Q27622213	Q3315749
Q682213	Q921151
Q27624381	Q2235441
Q27631687	Q1591254
Q27615248	Q280538
Q1274300	Q135940
Q27618187	Q858281
Q259849	Q1089119
Q27617399	Q589704
Q27622209	Q1591781
Q27616909	Q874879
Q27075187	Q16858735
Q21346670	Q26833803
Q27611695	Q1272932
Q25431576	Q26375
Q27614161	Q1265033
Q27621716	Q678728
Q41003805	Q532569
Q28836860	Q1083087
Q27630070	Q490294
Q27074577	Q844415
Q12213965	Q6090573
Q241499	Q388003
Q27606490	Q1576679
Q1304682	Q1035890
Q40428689	Q1200757
Q27614002	Q2871753
Q20003762	Q25565
Q21313745	Q230042
Q27637119	Q792447
Q27616097	Q995834
Q2926383	Q955626
Q27609092	Q1263074
Q27075493	Q850925
Q31898	Q608715
Q282242	Q13168473
Q27074911	Q12814087
Q27609083	Q512061
Q27615042	Q520983
Q27615926	Q268260
Q27631965	Q27075673
Q28374183	Q31843655
Q40645659	Q1315689
Q40991945	Q903971
Q40551684	Q898022
Q27623077	Q894235
Q109578493	Q687310
Q41079603	Q40654604
Q27625915	Q3238781
Q27622475	Q73430
Q25646070	Q1887740
Q606661	Q1060802
Q1379530	Q867629
Q1268038	Q723059
Q27609908	Q844860
Q28829806	Q28829511
Q970291	Q21844785
Q40652251	Q265839
Q41171520	Q838162
Q40995268	Q358477
Q27628369	Q1441996
Q27622342	Q2224769
Q21364606	Q1268825
Q17490372	Q420841
Q27630210	Q1591500
Q62393755	Q28832183
Q27630703	Q1588010
Q27633697	Q12255838
Q27628008	Q27075546
Q10819468	Q666222
Q41026274	Q28752732
Q27611191	Q1273337
Q1586718	Q1896265
Q10793110	Q839859
Q1263936	Q1988524
Q27606686	Q1261278
Q27636460	Q1300686
Q41003465	Q845382
Q27609848	Q1262552
Q27638766	Q531938
Q27610664	Q174466
Q27631326	Q460967
Q27632622	Q27075695
Q1253755	Q10758549
Q109578072	Q209239
Q882017	Q135923
Q27607236	Q27074640
Q28541549	Q160835
Q15881076	Q647533
Q27634889	Q1050978
Q1264540	Q256637
Q427834	Q264804
Q40989769	Q14517970
Q27616423	Q1269875
Q1274562	Q1007595
Q27632109	Q2729475
Q27636634	Q1585995
Q40594521	Q582770
Q41012626	Q639234
Q27602139	Q202423
Q27074829	Q19622523
Q27615762	Q876234
Q976787	Q214627
Q109563367	Q671699
Q27042035	Q1767410
Q27618733	Q1269863
Q2226068	Q1088541
Q21354304	Q1051396
Q27635433	Q592362
Q27617212	Q1268649
Q27609077	Q511845
Q994409	Q226900
Q41219321	Q10809594
Q21360701	Q25399
Q1304007	Q673853
Q41171144	Q1585741
Q27634605	Q1305603
Q27638767	Q531938
Q40988886	Q44617
Q27621504	Q1590112
Q27624064	Q24843
Q27613543	Q31898
Q1261422	Q135472
Q15233016	Q1081020
Q55111954	Q16589284
Q1584267	Q2090536
Q1036483	Q1991437
Q27609613	Q792890
Q106481228	Q208405
Q27624515	Q2622134
Q27074573	Q844415
Q28871817	Q22265256
Q1164632	Q637549
Q27626057	Q3726284
Q1267993	Q743573
Q27619067	Q1262867
Q135951	Q1031335
Q106481041	Q25634
Q27638777	Q1590119
Q40575999	Q1953447
Q583429	Q456513
Q27632246	Q73829
Q109578486	Q687310
Q901228	Q4120496
Q27074557	Q1232156
Q27036664	Q908697
Q11846956	Q1237815
Q49457992	Q1034956
Q27619552	Q303172
Q1042519	Q1187535
Q27602386	Q27074564
Q41023559	Q375593
Q41107696	Q40655967
Q2361775	Q752173
Q545585	Q869262
Q27617444	Q1267703
Q27619930	Q1922818
Q27620657	Q3729690
Q283461	Q10802958
Q906868	Q869407
Q2703709	Q8327
Q27613868	Q1061873
Q388301	Q2511641
Q27613875	Q647138
Q27601218	Q478592
Q27616864	Q1266107
Q27627572	Q1304429
Q27602763	Q27043853
Q27633619	Q849992
Q40989423	Q28917130
Q27636233	Q27075953
Q27614524	Q27074928
Q490327	Q367753
Q27622857	Q1589768
Q27611356	Q1262078
Q27604438	Q498183
Q27601518	Q142651
Q27606588	Q171655
Q40469265	Q3183301
Q2667649	Q2303843
Q28828109	Q10766689
Q27617553	Q1038207
Q41218379	Q1083925
Q26821762	Q1887740
Q61995714	Q127650
Q41022407	Q1080599
Q27604444	Q498183
Q41009128	Q913555
Q1266791	Q860944
Q27611303	Q12835465
Q22569498	Q26623
Q2628826	Q840522
Q27633420	Q767069
Q27633614	Q1586796
Q1261924	Q868199
Q27608554	Q1260623
Q40467981	Q3382374
Q783378	Q657775
Q41001668	Q3154331
Q27601914	Q205930
Q40653243	Q867433
Q663363	Q1608770
Q27635851	Q27075863
Q27611125	Q1262906
Q41003380	Q19622342
Q40484610	Q2668354
Q27630878	Q600880
Q27637221	Q1586862
Q205477	Q213984
Q109563172	Q1956383
Q106413479	Q222951
Q31873498	Q568111
Q27625969	Q1590952
Q3316832	Q514379
Q27617380	Q905069
Q31873400	Q832329
Q998863	Q18718823
Q27631364	Q2827234
Q40462802	Q859626
Q27635094	Q902416
Q302853	Q2292470
Q27636407	Q1300850
Q40654161	Q905044
Q3605933	Q257878
Q251930	Q10804236
Q2828918	Q735572
Q40997593	Q371767
Q27626017	Q3726284
Q27624673	Q1304946
Q10784300	Q43624
Q27630615	Q1586112
Q253776	Q26626
Q27606756	Q917017
Q27618372	Q1263117
Q27615428	Q889662
Q62456945	Q62454902
Q1210137	Q1752184
Q1071828	Q921396
Q15059422	Q835712
Q27618380	Q944050
Q2375770	Q217272
Q20729689	Q21716
Q27606516	Q1052043
Q780875	Q780867
Q40981448	Q25407338
Q40551154	Q25270207
Q27609898	Q844860
Q27075387	Q3838093
Q27616011	Q605526
Q2032066	Q5113
Q10793509	Q427512
Q109578350	Q569096
Q27616131	Q1274489
Q27635168	Q2226805
Q27633944	Q2742600
Q40585251	Q178942
Q1585720	Q2090536
Q27621233	Q244251
Q27622822	Q15616389
Q27956115	Q8327
Q21353806	Q572657
Q27614441	Q27074907
Q27622803	Q1588102
Q27613819	Q839945
Q258195	Q752173
Q1266857	Q198823
Q1262700	Q614004
Q1265877	Q683652
Q2630949	Q860902
Q614824	Q940685
Q21265316	Q614481
Q41154139	Q43624
Q934343	Q220705
Q868619	Q666222
Q7419684	Q26657
Q244227	Q2716296
Q27610181	Q18926
Q27624859	Q3729103
Q206648	Q27757
Q735158	Q371767
Q27617433	Q1269805
Q27614522	Q27074928
Q2350191	Q200989
Q27620862	Q2941277
Q27621877	Q2667746
Q41102959	Q40657018
Q40986668	Q860912
Q27635619	Q27075840
Q27618326	Q941858
Q27614656	Q16819
Q28778248	Q28778256
Q676270	Q379371
Q27611792	Q1273473
Q40659558	Q827170
Q62395602	Q62395566
Q27612843	Q997357
Q827866	Q850942
Q1589391	Q611996
Q1273640	Q1192076
Q207249	Q1951679
Q15274050	Q212669
Q208328	Q3758978
Q27606511	Q1052043
Q27622647	Q3181493
Q27631149	Q1587231
Q10787014	Q25510
Q27634782	Q583220
Q1094958	Q10807482
Q41004496	Q767947
Q40527788	Q28740002
Q27610130	Q766694
Q866691	Q1078472
Q27621880	Q2667746
Q21364619	Q845231
Q31874338	Q771870
Q21401191	Q11844269
Q1262459	Q659724
Q40988785	Q27956115
Q40657201	Q18340387
Q40496256	Q1267591
Q10735395	Q28486
Q22262555	Q666222
Q26452	Q183361
Q101499859	Q868144
Q1265793	Q136348
Q27610812	Q261612
Q659632	Q955626
Q109563586	Q687310
Q27605941	Q114715
Q46435	Q11234198
Q40487139	Q910102
Q27624076	Q1266617
Q10805406	Q185237
Q40983813	Q235152
Q15879568	Q1073958
Q27620055	Q339071
Q27634893	Q629462
Q61885185	Q1887740
Q41102121	Q40656970
Q40496398	Q25003801
Q3813361	Q290871
Q27621382	Q1587465
Q27614484	Q594083
Q40462650	Q842013
Q27630278	Q1591533
Q25265914	Q979624
Q27618090	Q1265713
Q27621782	Q1302920
Q21352882	Q1261628
Q27627294	Q2828923
Q41012174	Q6377551
Q27634489	Q1306610
Q868088	Q10749362
Q41012535	Q737426
Q27615822	Q262933
Q432058	Q455997
Q40655778	Q549291
Q41020100	Q23655859
Q518628	Q518600
Q40980337	Q214264
Q646048	Q844705
Q3114690	Q1082554
Q3117521	Q3019424
Q27630489	Q605720
Q27622228	Q1002070
Q12232394	Q12232395
Q25402443	Q10834651
Q27623698	Q1588387
Q28745029	Q28740166
Q27075056	Q2292470
Q28920800	Q1029627
Q40545219	Q22085062
Q278941	Q561145
Q1268888	Q1895444
Q62570265	Q30588297
Q27629603	Q883006
Q27632956	Q642699
Q27621995	Q1590382
Q1028619	Q1035252
Q27620679	Q1317356
Q27636501	Q1302812
Q1088561	Q187014
Q2668185	Q1068758
Q1274648	Q456513
Q27608409	Q18857
Q27611560	Q1080335
Q251939	Q945274
Q27614056	Q27074835
Q388494	Q975809
Q27611876	Q793835
Q27602272	Q1263194
Q1271472	Q867544
Q27606836	Q19886412
Q27632908	Q430467
Q10823971	Q43624
Q40997536	Q371767
Q27624383	Q2235441
Q62576286	Q28114133
Q27623529	Q530337
Q40436624	Q1304473
Q27618596	Q532646
Q684348	Q115661
Q27635049	Q26698
Q27622506	Q165856
Q7625446	Q2576337
Q144809	Q18640249
Q27621355	Q73916
Q10772886	Q550595
Q1543897	Q905352
Q41144965	Q512566
Q27623570	Q499283
Q40644423	Q31617
Q31874644	Q2090536
Q27614001	Q2871753
Q27630385	Q2225821
Q637624	Q43489
Q1401386	Q27244
Q27635258	Q1588749
Q1065072	Q853653
Q41016062	Q922268
Q27621738	Q537579
Q27074900	Q769083
Q27623490	Q207838
Q1269889	Q943501
Q27637595	Q1590393
Q25263539	Q255035
Q626248	Q3728563
Q27627487	Q2554381
Q646544	Q681374
Q27631525	Q26607
Q27615035	Q911080
Q620443	Q15053744
Q21265320	Q614481
Q41017710	Q286072
Q27620371	Q1301469
Q21348737	Q2310180
Q27608590	Q1121370
Q27619296	Q920534
Q27635491	Q27075786
Q596917	Q304580
Q27621193	Q1591898
Q27631555	Q907188
Q1586476	Q259857
Q27609403	Q917147
Q25266018	Q214293
Q41015608	Q3754354
Q40978861	Q575045
Q27620441	Q1040206
Q27634523	Q1317295
