audio_id	path	book_id	曲名	全長	分布	季節	環境
2_30	db/日本野鳥大鑑2/30 ソデグロヅル.wav	2	30 ソデグロヅル	135㎝	北海道、本州、九州	冬鳥	水田、干拓地、干潟
2_31	db/日本野鳥大鑑2/31 クイナ.wav	2	31 クイナ	29㎝	全国	北海道、本州北部で夏鳥。本州以南で冬鳥	草原、農耕地
2_32	db/日本野鳥大鑑2/32 ヤンバルクイナ.wav	2	32 ヤンバルクイナ	30㎝	沖縄本島北部	留鳥	森林
2_33	db/日本野鳥大鑑2/33 オオクイナ.wav	2	33 オオクイナ	26㎝	沖縄県石垣島、西表島、竹富島などの八重山諸島	留鳥	森林
2_34	db/日本野鳥大鑑2/34 ヒクイナ.wav	2	34 ヒクイナ	22.5㎝	全国	夏鳥	平地から山地の水田、湿原
2_35	db/日本野鳥大鑑2/35 リュウキュウヒクイナ.wav	2	35 リュウキュウヒクイナ					詳細記載なし
2_36	db/日本野鳥大鑑2/36 シマクイナ.wav	2	36 シマクイナ	12.5㎝	全国	冬鳥	水田、アシ原
2_37	db/日本野鳥大鑑2/37 シロハラクイナ.wav	2	37 シロハラクイナ	32.5㎝	南西諸島、九州など日本南部	留鳥または漂鳥	平地の水田、河川などの水辺。沖縄県ではマングローブ林でも
2_38	db/日本野鳥大鑑2/38 ツルクイナ.wav	2	38 ツルクイナ	40㎝	おもに南西諸島南部。全国でまれ	南西諸島では留鳥。そのほかでは旅鳥	草地、水田、牧場など比較的乾燥した草原
2_39	db/日本野鳥大鑑2/39 バン.wav	2	39 バン	32.5㎝	全国。北日本は夏のみ	夏鳥または留鳥	平地の湖沼
2_40	db/日本野鳥大鑑2/40 オオバン.wav	2	40 オオバン	39㎝	全国。北海道では夏のみ	留鳥または漂鳥	平地の湖沼
2_41	db/日本野鳥大鑑2/41 タマシギ.wav	2	41 タマシギ	23.5㎝	本州中部以南	留鳥または漂鳥	水田、湿地
2_42	db/日本野鳥大鑑2/42 ミヤコドリ.wav	2	42 ミヤコドリ	23.5㎝	全国	旅鳥または冬鳥	岩礁海岸、干潟、砂浜
2_43	db/日本野鳥大鑑2/43 コチドリ.wav	2	43 コチドリ	16㎝	全国	夏鳥	河川
